,City,Country,Lat,Lon,Max Temp(F),Humidity(%),Wind Speed(mph),Cloudiness(%),Date
269,Konevo,BG,41.67,25.61,31.37,75,6.51,44,Feb 26 2019
270,Pacific Grove,US,36.62,-121.92,60.01,58,19.46,90,Feb 26 2019
271,Naze,NG,5.43,7.07,71.28,96,2.77,80,Feb 26 2019
272,Dakar,SN,14.69,-17.45,73.4,10,14.99,8,Feb 26 2019
273,Tazovskiy,RU,67.47,78.7,-20.34,29,3.11,0,Feb 26 2019
274,Oxapampa,PE,-10.58,-75.4,53.37,100,1.77,92,Feb 26 2019
275,Belaya Gora,RU,68.54,146.19,-23.04,33,5.5,68,Feb 26 2019
276,Egvekinot,RU,66.32,-179.17,24.71,87,15.19,80,Feb 26 2019
277,Sainte-Suzanne,CH,47.51,6.77,34.0,64,4.34,0,Feb 26 2019
278,Clyde River,CA,70.47,-68.59,-27.41,74,3.36,1,Feb 26 2019
279,Poum,MK,41.28,20.71,28.08,71,4.27,36,Feb 26 2019
280,San Policarpo,PH,12.18,125.51,79.97,86,10.31,0,Feb 26 2019
281,Nhulunbuy,AU,-12.18,136.78,87.8,66,12.75,20,Feb 26 2019
282,Dwarka,IN,28.58,77.04,66.0,87,5.82,75,Feb 26 2019
283,Eatonton,US,33.33,-83.39,60.01,87,5.23,1,Feb 26 2019
284,Placido de Castro,BR,-10.34,-67.19,77.72,85,3.04,8,Feb 26 2019
285,Koumac,NC,-20.56,164.28,81.9,72,13.06,36,Feb 26 2019
286,Pitanga,BR,-24.76,-51.76,63.54,96,5.35,92,Feb 26 2019
287,Port Lincoln,AU,-34.72,135.86,78.3,76,4.27,0,Feb 26 2019
288,Nishihara,JP,35.74,139.53,53.01,36,1.12,75,Feb 26 2019
289,Plettenberg Bay,ZA,-34.05,23.37,63.09,98,17.47,80,Feb 26 2019
290,Kaeo,NZ,-35.1,173.78,73.0,58,5.99,0,Feb 26 2019
291,Koshurnikovo,RU,54.3,93.39,22.86,63,4.38,48,Feb 26 2019
292,Karratha,AU,-20.74,116.85,101.07,31,7.52,0,Feb 26 2019
293,Onalaska,US,43.88,-91.23,12.0,78,3.36,90,Feb 26 2019
294,Russell,AR,-33.01,-68.8,71.6,40,17.22,0,Feb 26 2019
295,Plavsk,RU,53.71,37.29,28.31,93,11.88,88,Feb 26 2019
296,Tomatlan,MX,19.93,-105.25,70.16,91,2.26,0,Feb 26 2019
297,Kuytun,RU,54.34,101.51,21.78,61,3.04,24,Feb 26 2019
298,Boueni,YT,-12.9,45.08,80.6,88,8.05,0,Feb 26 2019
299,Tanout,NE,14.97,8.88,67.23,30,7.63,92,Feb 26 2019
300,Kazerun,IR,29.62,51.65,45.54,63,3.04,100,Feb 26 2019
301,Lusaka,ZM,-15.42,28.28,67.14,77,8.08,0,Feb 26 2019
302,Emerald,AU,-23.53,148.16,91.0,27,10.29,75,Feb 26 2019
303,Bethel,US,60.79,-161.76,35.6,100,14.99,90,Feb 26 2019
304,Celestun,MX,20.87,-90.4,80.28,89,19.33,0,Feb 26 2019
305,Belle Fourche,US,44.67,-103.85,3.0,70,12.75,90,Feb 26 2019
306,Tiznit,MA,29.7,-9.73,51.89,72,3.49,12,Feb 26 2019
307,Roebourne,AU,-20.77,117.15,101.07,31,7.52,0,Feb 26 2019
308,Maniitsoq,GL,65.42,-52.9,13.05,63,5.23,0,Feb 26 2019
309,La Ronge,CA,55.1,-105.3,10.4,85,6.93,90,Feb 26 2019
310,Osmena,PH,12.17,124.59,80.91,84,8.75,0,Feb 26 2019
311,Axim,GH,4.87,-2.24,82.22,100,10.09,0,Feb 26 2019
312,Heihe,RU,50.24,127.51,35.6,34,4.47,0,Feb 26 2019
313,Gilgit,PK,35.92,74.31,9.18,83,1.25,36,Feb 26 2019
314,Faanui,PF,-16.48,-151.75,84.33,100,5.35,0,Feb 26 2019
315,Takoradi,GH,4.89,-1.75,79.79,100,8.37,44,Feb 26 2019
316,Saint-Pierre,FR,48.95,4.24,37.4,80,5.82,0,Feb 26 2019
317,Luderitz,NA,-26.65,15.16,64.08,76,17.69,0,Feb 26 2019
318,Ahipara,NZ,-35.17,173.16,72.18,64,12.66,0,Feb 26 2019
319,Kumanovo,MK,42.14,21.72,42.8,56,4.7,90,Feb 26 2019
320,Vila Velha,BR,-3.71,-38.6,80.6,88,5.23,20,Feb 26 2019
321,Seoul,KR,37.57,126.98,53.6,34,5.82,75,Feb 26 2019
322,Nome,US,30.04,-94.42,61.0,87,24.16,90,Feb 26 2019
323,Garhi Khairo,PK,28.06,67.98,49.23,71,2.82,0,Feb 26 2019
324,Coihaique,CL,-45.58,-72.07,50.0,76,2.24,0,Feb 26 2019
325,Norman,US,35.22,-97.44,35.6,92,6.93,90,Feb 26 2019
326,Sarkand,KZ,45.41,79.91,13.14,54,3.89,12,Feb 26 2019
327,Santa Maria,BR,-29.69,-53.81,60.8,93,6.35,0,Feb 26 2019
328,Clearlake,US,38.96,-122.63,53.01,100,18.34,90,Feb 26 2019
329,Katsuura,JP,33.93,134.5,50.0,43,6.93,75,Feb 26 2019
330,Inta,RU,66.04,60.13,-1.35,56,6.73,0,Feb 26 2019
331,Palauig,PH,15.44,119.9,82.94,65,0.36,0,Feb 26 2019
332,Dubbo,AU,-32.25,148.6,87.8,23,14.99,36,Feb 26 2019
333,Menongue,AO,-14.66,17.68,68.4,73,2.33,92,Feb 26 2019
334,Lichuan,CN,30.3,108.94,38.88,98,2.89,92,Feb 26 2019
335,Zaltan,LY,32.95,11.87,47.7,100,4.27,0,Feb 26 2019
336,Wamba,CD,2.14,27.99,68.85,79,2.82,0,Feb 26 2019
337,Kankakee,US,41.12,-87.86,28.4,68,10.42,90,Feb 26 2019
338,Muravlenko,RU,63.79,74.5,-0.5,75,15.68,68,Feb 26 2019
339,Mae Chan,TH,20.15,99.85,80.01,73,3.36,24,Feb 26 2019
340,Sibiti,CG,-3.69,13.35,72.81,97,3.0,88,Feb 26 2019
341,Xapuri,BR,-10.65,-68.5,74.12,95,0.58,36,Feb 26 2019
342,Hualmay,PE,-11.1,-77.61,68.72,88,3.71,0,Feb 26 2019
343,Inhambane,MZ,-23.87,35.38,78.03,96,12.28,0,Feb 26 2019
344,Sept-Iles,CA,50.2,-66.38,6.8,55,16.11,90,Feb 26 2019
345,Esperance,TT,10.24,-61.45,75.99,88,4.7,20,Feb 26 2019
346,Sakaiminato,JP,35.55,133.23,51.8,34,6.93,75,Feb 26 2019
347,Tshela,CD,-4.99,12.94,75.15,92,5.01,92,Feb 26 2019
348,Ancud,CL,-41.87,-73.83,53.1,83,5.35,0,Feb 26 2019
349,Sassandra,CI,4.95,-6.09,82.31,98,10.76,80,Feb 26 2019
350,Atambua,ID,-9.11,124.89,84.69,95,2.37,8,Feb 26 2019
351,Hofn,IS,64.25,-15.21,41.99,90,18.92,36,Feb 26 2019
352,Erenhot,CN,43.65,111.97,31.82,55,8.81,0,Feb 26 2019
353,Kuala Terengganu,MY,5.33,103.14,86.0,66,6.93,75,Feb 26 2019
354,Grass Valley,US,39.22,-121.06,53.01,100,11.41,90,Feb 26 2019
355,Kongolo,CD,-5.39,27.0,72.0,95,2.26,80,Feb 26 2019
356,Lubango,AO,-14.92,13.49,61.52,91,2.26,12,Feb 26 2019
357,Puerto Leguizamo,CO,-0.19,-74.78,84.15,38,4.79,0,Feb 26 2019
358,Biak,ID,-0.91,122.88,80.64,93,3.78,88,Feb 26 2019
359,Najran,SA,17.54,44.22,62.6,45,1.99,5,Feb 26 2019
360,Lima,PE,-12.06,-77.04,75.2,73,12.75,0,Feb 26 2019
361,Miles City,US,46.41,-105.84,-2.21,70,13.87,1,Feb 26 2019
362,Calamar,CO,1.96,-72.65,88.11,35,4.12,44,Feb 26 2019
363,Ballina,IE,54.11,-9.15,48.0,86,1.01,76,Feb 26 2019
364,Gamba,CN,28.28,88.52,4.05,86,3.11,48,Feb 26 2019
365,Kenai,US,60.55,-151.26,23.0,66,5.82,1,Feb 26 2019
366,Pangody,RU,65.85,74.49,-16.83,24,3.83,0,Feb 26 2019
367,Okhotsk,RU,59.36,143.24,4.95,100,5.73,12,Feb 26 2019
368,Faya,SA,18.39,42.45,60.8,72,4.7,0,Feb 26 2019
369,Leningradskiy,RU,69.38,178.42,22.01,83,27.42,0,Feb 26 2019
370,Loreto,PY,-23.27,-57.32,70.07,93,6.8,36,Feb 26 2019
371,Luanda,AO,-8.83,13.24,78.8,88,9.17,75,Feb 26 2019
372,Butwal,NP,27.7,83.45,57.69,83,7.52,92,Feb 26 2019
373,Ausa,IN,18.25,76.5,67.59,38,9.64,0,Feb 26 2019
374,Northam,GB,51.04,-4.21,46.99,86,5.82,0,Feb 26 2019
375,Nuevo Progreso,US,26.05,-97.95,75.2,83,6.93,1,Feb 26 2019
376,Kenora,CA,49.76,-94.48,-0.41,70,8.05,90,Feb 26 2019
377,Shaoguan,CN,24.81,113.59,61.65,99,0.58,92,Feb 26 2019
378,Geraldton,CA,49.72,-86.95,-4.01,70,6.93,40,Feb 26 2019
379,Dingle,PH,11.0,122.67,84.24,50,13.67,0,Feb 26 2019
380,Gushikawa,JP,26.35,127.87,75.2,64,9.17,20,Feb 26 2019
381,Patacamaya,BO,-17.23,-67.92,45.32,84,7.52,56,Feb 26 2019
382,Ostrovnoy,RU,68.05,39.51,19.98,88,19.93,36,Feb 26 2019
383,Umm Lajj,SA,25.02,37.27,68.13,92,13.78,76,Feb 26 2019
384,Nanortalik,GL,60.14,-45.24,31.05,100,25.7,48,Feb 26 2019
385,Sterling,US,39.0,-77.4,37.99,64,4.7,1,Feb 26 2019
386,Shchors,UA,51.82,31.95,30.56,80,15.35,88,Feb 26 2019
387,Fort Nelson,CA,58.81,-122.69,21.2,92,2.24,20,Feb 26 2019
388,Bima,ID,-8.45,118.73,86.85,76,2.77,0,Feb 26 2019
389,Iracoubo,GF,5.48,-53.21,76.32,85,6.24,100,Feb 26 2019
390,Dong Xoai,VN,11.53,106.92,83.39,64,2.77,0,Feb 26 2019
391,Shimoda,JP,34.7,138.93,53.6,46,10.29,75,Feb 26 2019
392,Alta Floresta,BR,-9.87,-56.08,71.96,96,1.81,88,Feb 26 2019
393,Natal,BR,-5.81,-35.21,80.6,88,3.36,40,Feb 26 2019
394,Banjar,ID,-7.37,108.54,84.6,76,3.22,0,Feb 26 2019
395,Hammerfest,NO,70.66,23.68,30.2,92,2.24,90,Feb 26 2019
396,Nileshwar,IN,12.25,75.1,81.36,100,8.03,32,Feb 26 2019
397,Rabo de Peixe,PT,37.8,-25.58,59.0,77,18.34,75,Feb 26 2019
398,Bayir,TR,37.27,28.22,46.4,65,6.93,0,Feb 26 2019
399,Funadhoo,MV,6.15,73.27,81.45,100,6.85,68,Feb 26 2019
400,Puro,PH,13.13,123.76,79.74,75,8.93,56,Feb 26 2019
401,Nizwa,OM,22.93,57.53,42.57,64,4.61,0,Feb 26 2019
402,Hay River,CA,60.82,-115.79,24.8,68,12.75,75,Feb 26 2019
403,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,19.4,41,6.71,48,Feb 26 2019
404,Pointe Michel,DM,15.25,-61.38,77.85,92,20.04,80,Feb 26 2019
405,Goderich,CA,43.74,-81.71,12.99,77,1.01,80,Feb 26 2019
406,San Jeronimo,PE,-13.65,-73.37,46.31,93,1.36,88,Feb 26 2019
407,Tupik,RU,54.43,119.94,21.96,51,3.49,56,Feb 26 2019
408,Grindavik,IS,63.84,-22.43,39.2,80,12.75,40,Feb 26 2019
409,Mananjary,MG,-19.16,46.8,61.52,89,6.06,8,Feb 26 2019
410,Khani,GE,41.96,42.96,39.2,100,2.24,90,Feb 26 2019
411,Srednekolymsk,RU,67.46,153.71,-13.95,62,5.28,80,Feb 26 2019
412,Mount Isa,AU,-20.73,139.49,91.4,31,8.05,24,Feb 26 2019
413,Cockburn Town,TC,21.46,-71.14,77.54,98,22.91,56,Feb 26 2019
414,Bandarbeyla,SO,9.49,50.81,77.22,100,11.83,8,Feb 26 2019
415,Hobyo,SO,5.35,48.53,76.41,87,14.41,68,Feb 26 2019
416,Chimbote,PE,-9.08,-78.59,72.32,94,6.51,36,Feb 26 2019
417,Arlit,NE,18.74,7.39,55.44,73,2.59,0,Feb 26 2019
418,Landerneau,FR,48.45,-4.26,48.2,81,9.17,0,Feb 26 2019
419,Tonantins,BR,-2.86,-67.77,80.73,70,5.12,8,Feb 26 2019
420,Sisimiut,GL,66.94,-53.67,-9.77,66,2.59,0,Feb 26 2019
421,Hamilton,BM,32.3,-64.78,62.6,55,9.17,75,Feb 26 2019
422,Matara,PE,-13.74,-72.9,46.31,93,1.36,88,Feb 26 2019
423,Vao,EE,59.1,26.19,27.32,93,6.8,80,Feb 26 2019
424,Veraval,FR,49.65,0.71,44.01,80,2.24,0,Feb 26 2019
425,Suleja,NG,9.18,7.18,75.2,83,3.36,0,Feb 26 2019
426,Jonkoping,SE,57.78,14.16,39.99,93,6.93,0,Feb 26 2019
427,Hervey Bay,AU,-25.3,152.85,87.01,45,20.8,75,Feb 26 2019
428,Jackville,CI,5.21,-4.42,82.4,88,5.82,20,Feb 26 2019
429,Villarrobledo,ES,39.27,-2.6,36.0,61,1.99,0,Feb 26 2019
430,Sinnamary,GF,5.38,-52.96,80.1,92,14.97,92,Feb 26 2019
431,Tyukhtet,RU,56.54,89.31,28.35,83,9.82,88,Feb 26 2019
432,Mahebourg,MU,-20.41,57.7,82.4,83,10.29,40,Feb 26 2019
433,Buala,SB,-8.15,159.59,88.07,71,10.6,0,Feb 26 2019
434,Bonavista,CA,48.65,-53.11,22.05,89,32.91,56,Feb 26 2019
435,Alnashi,RU,56.18,52.48,17.19,86,4.61,92,Feb 26 2019
436,Husavik,CA,50.56,-96.99,-1.0,85,8.99,8,Feb 26 2019
437,Narrabri,AU,-30.33,149.78,86.0,25,4.7,92,Feb 26 2019
438,Mayo,CA,63.59,-135.9,3.2,84,2.24,5,Feb 26 2019
439,Kamskoye Ustye,RU,55.2,49.27,19.4,85,2.82,90,Feb 26 2019
440,Tateyama,JP,36.66,137.31,50.0,49,6.93,75,Feb 26 2019
441,Xuddur,SO,4.12,43.89,68.13,60,11.43,0,Feb 26 2019
442,Honiara,SB,-9.43,159.96,87.17,61,3.71,48,Feb 26 2019
443,Grand Gaube,MU,-20.01,57.66,82.4,83,10.29,40,Feb 26 2019
444,Morwell,AU,-38.24,146.4,87.01,38,5.01,0,Feb 26 2019
445,Kailua,US,21.39,-157.74,78.8,83,12.75,75,Feb 26 2019
446,Yerbogachen,RU,61.28,108.01,16.11,69,6.73,64,Feb 26 2019
447,Pontal do Parana,BR,-25.67,-48.51,71.01,94,4.7,75,Feb 26 2019
448,Obo,CF,5.39,26.49,70.29,83,7.52,32,Feb 26 2019
449,Warrington,GB,53.39,-2.59,48.0,81,4.7,0,Feb 26 2019
450,Vacha,RU,55.8,42.77,25.92,93,7.63,80,Feb 26 2019
451,Mitsamiouli,KM,-11.38,43.28,77.0,88,5.82,75,Feb 26 2019
452,Bambous Virieux,MU,-20.34,57.76,82.4,83,10.29,40,Feb 26 2019
453,Fayaoue,NC,-20.65,166.53,80.37,97,26.71,76,Feb 26 2019
454,Moncada,PH,15.73,120.57,84.2,48,4.7,75,Feb 26 2019
455,Yokaichi,JP,35.11,136.2,59.0,43,9.17,75,Feb 26 2019
456,Korem,ET,12.51,39.52,40.23,65,1.48,0,Feb 26 2019
457,Verkhnyaya Inta,RU,65.99,60.32,-0.54,54,6.29,0,Feb 26 2019
458,Ulaanbaatar,MN,47.92,106.92,19.4,48,2.24,0,Feb 26 2019
459,Ampanihy,MG,-24.69,44.75,68.81,92,2.89,8,Feb 26 2019
460,Trebinje,HR,42.71,18.35,55.4,34,18.34,0,Feb 26 2019
461,Jutai,BR,-1.71,-47.89,72.9,99,1.32,92,Feb 26 2019
462,Dourbali,TD,11.81,15.86,66.42,87,3.22,0,Feb 26 2019
463,Daram,NG,9.98,13.15,67.5,76,2.48,48,Feb 26 2019
464,Babocsa,HU,46.04,17.34,37.26,79,13.11,0,Feb 26 2019
465,Comarapa,BO,-17.91,-64.53,54.77,97,2.26,76,Feb 26 2019
466,Padang,ID,-0.92,100.36,78.8,94,5.82,40,Feb 26 2019
467,Sidi Ali,DZ,36.1,0.42,35.64,86,2.55,0,Feb 26 2019
468,Vostochnyy,RU,55.82,37.87,28.4,79,13.42,40,Feb 26 2019
469,Epe,DE,52.18,7.04,41.0,86,1.12,0,Feb 26 2019
470,Bathsheba,BB,13.22,-59.52,77.0,78,19.46,40,Feb 26 2019
471,Burns Lake,CA,54.23,-125.76,12.51,66,2.1,0,Feb 26 2019
472,Isangel,VU,-19.55,169.27,86.0,84,11.41,75,Feb 26 2019
473,Avera,US,33.19,-82.53,60.8,55,8.05,20,Feb 26 2019
474,Joshimath,IN,30.57,79.57,6.75,90,0.54,76,Feb 26 2019
475,Saldanha,PT,41.42,-6.55,35.51,80,5.06,0,Feb 26 2019
476,Mabaruma,GY,8.2,-59.78,78.17,83,8.75,92,Feb 26 2019
477,Esmeraldas,BR,-19.76,-44.31,69.8,88,12.75,75,Feb 26 2019
478,Larsnes,NO,62.2,5.58,46.0,75,28.86,80,Feb 26 2019
479,Port Blair,IN,11.67,92.75,84.11,96,12.33,0,Feb 26 2019
480,Kokkola,FI,63.84,23.13,41.0,87,10.29,0,Feb 26 2019
481,Marquette,US,46.54,-87.4,10.99,77,5.82,90,Feb 26 2019
482,Chernyshevskiy,RU,63.01,112.47,15.71,70,9.42,80,Feb 26 2019
483,Tromso,NO,69.65,18.96,37.4,86,17.22,92,Feb 26 2019
484,Svetlaya,RU,46.54,138.33,35.82,70,7.74,0,Feb 26 2019
485,Rize,TR,41.02,40.52,42.8,70,12.75,75,Feb 26 2019
486,Saint-Joseph,FR,43.56,6.97,54.0,86,3.36,0,Feb 26 2019
487,Levelland,US,33.59,-102.38,61.0,24,10.29,20,Feb 26 2019
488,Quatre Cocos,MU,-20.21,57.76,82.4,83,10.29,40,Feb 26 2019
489,Makakilo City,US,21.35,-158.09,78.8,53,6.93,75,Feb 26 2019
490,Luau,CD,-10.7,22.23,66.15,96,2.04,48,Feb 26 2019
491,Huilong,CN,28.89,110.18,39.47,99,5.61,92,Feb 26 2019
492,Ponta Delgada,PT,37.73,-25.67,59.0,77,18.34,75,Feb 26 2019
493,Gohad,IN,26.42,78.44,57.02,86,4.72,8,Feb 26 2019
494,Vila Franca do Campo,PT,37.72,-25.43,59.0,77,18.34,75,Feb 26 2019
495,Berlevag,NO,70.86,29.09,30.2,86,16.11,90,Feb 26 2019
496,Sao Filipe,CV,14.9,-24.5,72.18,89,14.79,0,Feb 26 2019
497,Itaituba,BR,-4.26,-55.99,73.94,97,2.89,76,Feb 26 2019
498,Moron,VE,10.49,-68.2,67.5,96,4.0,80,Feb 26 2019
499,Shenzhen,CN,22.54,114.05,78.01,78,8.95,0,Feb 26 2019
500,Camalu,MX,30.85,-116.07,50.94,81,3.56,36,Feb 26 2019
501,Tabou,CI,4.42,-7.36,83.16,95,10.87,44,Feb 26 2019
502,Taluya,PH,5.81,125.18,91.4,63,11.41,20,Feb 26 2019
503,Shar,NG,7.3,8.73,71.01,92,3.27,44,Feb 26 2019
504,Kahului,US,20.89,-156.47,72.0,73,12.75,90,Feb 26 2019
505,Vangaindrano,MG,-23.35,47.6,73.98,98,1.99,68,Feb 26 2019
506,Belyy Yar,RU,53.6,91.39,21.2,73,6.71,32,Feb 26 2019
507,Dzierzoniow,PL,50.73,16.65,37.0,92,8.05,0,Feb 26 2019
508,Waddan,LY,29.16,16.14,31.68,80,2.77,0,Feb 26 2019
509,Gazanjyk,TM,39.24,55.52,30.6,78,2.59,24,Feb 26 2019
510,Salinopolis,BR,-0.61,-47.36,77.99,100,9.93,92,Feb 26 2019
511,Naryan-Mar,RU,67.67,53.09,11.88,73,29.51,48,Feb 26 2019
512,Ketchikan,US,55.34,-131.65,35.6,64,13.87,1,Feb 26 2019
513,Povoa de Varzim,PT,41.38,-8.76,57.2,67,13.87,0,Feb 26 2019
514,Hami,CN,42.84,93.51,29.25,47,7.29,8,Feb 26 2019
515,Port Hawkesbury,CA,45.62,-61.36,5.0,65,31.09,90,Feb 26 2019
516,Rawson,AR,-43.3,-65.11,64.98,42,13.85,92,Feb 26 2019
517,Dhidhdhoo,MV,6.88,73.1,81.27,100,6.51,32,Feb 26 2019
518,Biscarrosse,FR,44.41,-1.18,46.4,93,6.06,0,Feb 26 2019
519,Bitung,ID,1.44,125.19,89.6,52,15.35,40,Feb 26 2019
520,Dusti,TJ,37.35,68.68,35.6,93,4.47,20,Feb 26 2019
521,Gryazi,RU,52.5,39.96,30.33,94,9.53,92,Feb 26 2019
522,Manzanillo,CU,20.34,-77.12,81.59,92,6.13,8,Feb 26 2019
523,Mana,RS,43.52,20.24,42.8,52,10.29,75,Feb 26 2019
524,Praia,BR,-20.25,-43.81,69.8,83,6.93,90,Feb 26 2019
525,Nemuro,JP,43.32,145.57,32.0,95,11.41,20,Feb 26 2019
526,Show Low,US,34.25,-110.03,41.0,52,5.82,1,Feb 26 2019
527,Namatanai,PG,-3.66,152.44,80.64,100,5.91,56,Feb 26 2019
528,Nurota,UZ,40.56,65.69,35.6,93,10.29,64,Feb 26 2019
529,Scarborough,GB,54.28,-0.41,42.01,76,5.01,0,Feb 26 2019
530,Grand Forks,US,47.91,-97.06,-0.41,77,5.82,90,Feb 26 2019
531,Jacareacanga,BR,-6.22,-57.76,74.07,87,3.33,76,Feb 26 2019
532,Madawaska,CA,47.36,-68.32,-0.41,53,25.28,90,Feb 26 2019
533,Georgiyevka,RU,52.25,40.45,29.43,95,7.81,88,Feb 26 2019
534,Ust-Maya,RU,60.42,134.54,0.27,61,3.49,64,Feb 26 2019
535,Portland,US,45.52,-122.67,34.0,37,24.16,75,Feb 26 2019
536,Aracoiaba da Serra,BR,-23.51,-47.61,72.0,93,9.15,76,Feb 26 2019
537,Vorozhba,UA,51.17,34.23,30.06,90,14.79,88,Feb 26 2019
538,Chapada dos Guimaraes,BR,-15.46,-55.75,80.6,88,3.36,75,Feb 26 2019
539,Lubao,PH,14.94,120.6,87.8,48,4.7,75,Feb 26 2019
